;client_id;gender;age;Region;account_year;Owner_account;Disponent_account;Credit_amount;Withdrawal_amount;Balance_amount;Avg_trans_permonth;Weekday_Transaction;Weekend_Transaction;collect_otherbank;remit_otherbank;others;oldage_pension;insurance_payment;negative_payment;household;payment_statement;credit_interest;loan_payment;statement_monthly;statement_transaction;statement_weekly;AutoDebit_Freq;loan_amount;loan_duration;Loan_complete_paid;Loan_complete_unpaid;Loan_Contract_running;Loan_client_debt;Years_creditcard;classic;gold;junior;Region_AvgUnemploymentRate_96;Region_AvgSalary;Region_AvgCrimeRate_96
28;29;F;48;west Bohemia;1993;1.0;0.0;11967.01313868613;6679.739055793996;83101.2;8548.466804238793;259;111;62.0;0.0;0.0;0.0;0.0;0.0;62.0;62.0;67.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6460000000000004;9015.4;2586.3
29;30;F;42;north Moravia;1996;1.0;0.0;6824.165384615384;3787.2045454545455;21582.5;4856.862450466201;101;39;42.0;0.0;21.0;0.0;0.0;0.0;21.0;20.0;25.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
30;31;M;37;north Moravia;1996;1.0;0.0;18224.050000000003;7625.901041666665;30199.4;10236.365505317783;198;76;93.0;0.0;27.0;0.0;27.0;0.0;27.0;26.0;28.0;12.0;1.0;0.0;0.0;4.0;30276.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
31;32;M;19;east Bohemia;1993;1.0;0.0;13243.642105263163;7842.353211009183;51771.4;9866.637552686312;248;103;60.0;65.0;0.0;0.0;0.0;0.0;60.0;60.0;65.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
32;33;F;51;north Moravia;1993;1.0;0.0;4582.039259259261;2702.2064516129003;32196.5;3448.897581940244;248;104;58.0;0.0;0.0;0.0;0.0;0.0;58.0;58.0;63.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
33;36;F;21;central Bohemia;1994;1.0;0.0;9617.432999999999;3461.391011235952;37551.4;5144.0945527756085;261;106;134.0;0.0;45.0;0.0;45.0;0.0;44.0;44.0;49.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8783333333333334;9357.25;3620.583333333334
34;37;M;29;central Bohemia;1994;0.0;1.0;9617.432999999999;3461.391011235952;37551.4;5144.0945527756085;261;106;134.0;0.0;45.0;0.0;45.0;0.0;44.0;44.0;49.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8783333333333334;9357.25;3620.583333333334
35;38;F;26;north Bohemia;1995;1.0;0.0;17715.226153846157;14959.098013245044;44155.3;14620.439830887708;198;83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;44.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.857000000000001;9334.2;4838.0
36;39;M;31;north Moravia;1994;1.0;0.0;17746.878658536592;13229.17534246577;13312.9;15055.153884080382;275;108;53.0;0.0;0.0;0.0;0.0;0.0;53.0;54.0;55.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
37;40;F;42;central Bohemia;1995;1.0;0.0;8955.25243902439;6577.663265306118;89719.6;7631.916082667941;126;54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;40.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8783333333333334;9357.25;3620.583333333334
38;41;M;31;west Bohemia;1993;1.0;0.0;12764.850381679387;7322.95492957747;112405.5;9377.682146351191;247;97;59.0;0.0;0.0;0.0;0.0;0.0;59.0;59.0;64.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.6460000000000004;9015.4;2586.3
39;42;M;64;north Moravia;1993;1.0;0.0;17294.271653543303;7610.843971631206;50114.2;10605.367448205528;288;121;117.0;63.0;59.0;0.0;0.0;0.0;58.0;58.0;63.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
40;43;M;79;north Moravia;1993;1.0;0.0;2829.5440944881893;1343.6904761904757;20742.1;1846.1594695458214;266;113;122.0;65.0;61.0;65.0;0.0;0.0;61.0;60.0;61.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
41;44;F;22;north Bohemia;1993;1.0;0.0;10716.982089552239;5342.238582677168;79146.7;7334.148277447948;272;116;62.0;0.0;0.0;0.0;0.0;0.0;62.0;61.0;66.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.857000000000001;9334.2;4838.0
42;45;M;47;south Bohemia;1997;1.0;0.0;13806.366666666665;4799.198936170211;45904.5;6702.527899484773;89;41;43.0;0.0;14.0;0.0;14.0;1.0;14.0;13.0;17.0;1.0;1.0;0.0;0.0;4.0;318480.0;60.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
43;46;F;59;south Bohemia;1997;1.0;0.0;6422.193750000001;3215.6634146341453;44580.5;4328.606173433049;91;39;45.0;17.0;13.0;0.0;12.0;0.0;12.0;12.0;17.0;8.0;0.0;0.0;1.0;4.0;110736.0;48.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
44;47;M;65;north Moravia;1993;1.0;0.0;3346.1911290322587;1449.4974545454536;16315.4;2052.1870368180007;286;113;118.0;63.0;59.0;63.0;0.0;0.0;59.0;58.0;60.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
45;48;M;59;south Bohemia;1993;1.0;0.0;3495.5541353383464;1893.5802575107275;23704.0;2463.2297951068053;256;110;116.0;0.0;58.0;0.0;0.0;0.0;58.0;57.0;62.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
46;49;F;40;north Moravia;1997;1.0;0.0;9109.525000000001;6490.720000000002;100767.7;7909.400515873015;48;23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;17.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
47;50;F;21;north Bohemia;1996;1.0;0.0;4928.4;2107.4429629629635;25984.1;2983.077377548241;137;61;70.0;0.0;23.0;0.0;23.0;0.0;24.0;23.0;28.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.857000000000001;9334.2;4838.0
48;51;F;20;north Bohemia;1994;1.0;0.0;12957.381249999997;6652.918660287083;60766.5;9079.068951733543;227;94;50.0;0.0;0.0;0.0;0.0;0.0;50.0;50.0;55.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;5.857000000000001;9334.2;4838.0
49;52;M;75;north Bohemia;1993;1.0;0.0;2188.016793893129;1420.471351351353;23842.6;1761.0299952387588;224;92;63.0;67.0;0.0;67.0;0.0;0.0;63.0;62.0;63.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.857000000000001;9334.2;4838.0
50;53;M;22;south Moravia;1997;1.0;0.0;1942.4219512195123;1920.0214285714283;25878.4;1999.5818253968253;47;22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;16.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8285714285714287;8728.5;3845.785714285714
51;55;F;51;east Bohemia;1993;1.0;0.0;18844.544360902255;5619.372685185192;78755.0;8763.484815542168;410;155;242.0;65.0;121.0;0.0;60.0;0.0;61.0;60.0;65.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
52;56;M;39;south Bohemia;1996;1.0;0.0;12193.609615384614;5688.404040404038;70915.5;7917.6373121091865;107;44;40.0;0.0;20.0;0.0;0.0;0.0;20.0;20.0;25.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;2.81375;8831.5;2271.625
53;57;F;38;south Bohemia;1996;0.0;1.0;12193.609615384614;5688.404040404038;70915.5;7917.6373121091865;107;44;40.0;0.0;20.0;0.0;0.0;0.0;20.0;20.0;25.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
54;58;F;72;Prague;1997;1.0;0.0;2307.818604651163;1678.5120000000002;15310.5;1968.9439616402117;65;28;16.0;21.0;0.0;21.0;0.0;0.0;16.0;16.0;21.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;12541.0;99107.0
55;59;M;42;Prague;1994;1.0;0.0;8559.970940170939;3520.721538461535;86128.7;5172.800412712118;267;110;102.0;0.0;51.0;0.0;0.0;0.0;51.0;51.0;56.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;12541.0;99107.0
56;60;M;19;north Moravia;1996;1.0;0.0;11274.322222222218;4744.648062015501;98222.5;6849.986938840707;131;61;53.0;0.0;26.0;0.0;0.0;0.0;27.0;26.0;31.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;5.697272727272727;9049.181818181818;6174.272727272727
57;61;F;51;south Bohemia;1997;1.0;0.0;13394.408333333333;6476.7895833333305;21159.8;8815.167779812782;98;46;38.0;23.0;19.0;0.0;0.0;0.0;19.0;18.0;23.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
58;62;M;67;north Moravia;1995;1.0;0.0;2156.597701149425;1568.1254545454556;15130.3;1839.2161941143604;143;54;39.0;43.0;0.0;43.0;0.0;0.0;39.0;38.0;43.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
59;63;M;40;central Bohemia;1995;1.0;0.0;1739.2719101123596;1057.6809917355379;26815.6;1388.6769429595745;150;60;40.0;44.0;0.0;0.0;0.0;0.0;40.0;39.0;44.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8783333333333334;9357.25;3620.583333333334
60;64;M;73;south Bohemia;1996;1.0;0.0;2459.4723076923074;1633.8517647058834;20988.2;2020.6525514300513;107;43;29.0;34.0;0.0;34.0;0.0;0.0;29.0;29.0;30.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
61;65;F;56;east Bohemia;1994;1.0;0.0;7709.6474576271185;4869.542857142853;57568.1;5955.278725737247;209;84;51.0;0.0;0.0;0.0;0.0;0.0;51.0;50.0;55.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
62;66;F;48;Prague;1995;1.0;0.0;11602.674712643679;5633.498809523806;63004.5;7785.176443418296;180;75;39.0;0.0;0.0;0.0;0.0;0.0;39.0;38.0;43.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;12541.0;99107.0
63;67;F;67;west Bohemia;1996;1.0;0.0;3043.862962962963;1844.7337349397596;11255.5;2337.612564287564;92;45;0.0;28.0;0.0;28.0;0.0;2.0;22.0;23.0;25.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6460000000000004;9015.4;2586.3
64;68;M;53;east Bohemia;1994;1.0;0.0;7651.18780487805;3287.344274809157;79811.4;4701.350267704795;277;108;106.0;0.0;53.0;0.0;0.0;0.0;53.0;52.0;57.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
65;70;M;74;north Moravia;1993;1.0;0.0;2106.8068376068377;1027.3558558558568;18423.2;1390.1004128296888;234;105;111.0;60.0;55.0;60.0;0.0;0.0;56.0;55.0;56.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
66;71;F;72;north Moravia;1993;0.0;1.0;2106.8068376068377;1027.3558558558568;18423.2;1390.1004128296888;234;105;111.0;60.0;55.0;60.0;0.0;0.0;56.0;55.0;56.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
67;72;M;76;east Bohemia;1993;1.0;0.0;2650.0451851851853;1543.3004524886874;16686.1;1989.2828550228617;262;94;65.0;69.0;0.0;69.0;0.0;0.0;65.0;64.0;65.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
68;73;M;75;west Bohemia;1996;1.0;0.0;2734.765957446808;1173.1585365853662;32334.9;1750.9993388555888;89;40;41.0;25.0;20.0;25.0;0.0;0.0;21.0;20.0;21.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6460000000000004;9015.4;2586.3
69;74;F;74;west Bohemia;1996;0.0;1.0;2734.765957446808;1173.1585365853662;32334.9;1750.9993388555888;89;40;41.0;25.0;20.0;25.0;0.0;0.0;21.0;20.0;21.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6460000000000004;9015.4;2586.3
70;75;F;22;south Moravia;1997;1.0;0.0;3994.3266666666673;7007.142857142857;21730.1;5163.683472222222;30;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8285714285714287;8728.5;3845.785714285714
71;76;F;32;north Bohemia;1996;1.0;0.0;13335.783018867922;5083.207812499998;56145.9;7527.885850650932;128;53;66.0;0.0;22.0;0.0;22.0;0.0;22.0;21.0;26.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;5.857000000000001;9334.2;4838.0
72;77;F;43;Prague;1993;1.0;0.0;24307.19593495934;14971.668393782384;100252.6;18878.236677200854;230;86;0.0;61.0;0.0;0.0;0.0;0.0;0.0;56.0;61.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.43;12541.0;99107.0
73;78;F;55;south Bohemia;1994;1.0;0.0;22342.519607843136;7997.239285714292;39709.5;11772.800514586022;269;113;116.0;50.0;46.0;0.0;0.0;0.0;46.0;45.0;50.0;24.0;1.0;0.0;0.0;3.0;165960.0;24.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
74;79;F;30;north Bohemia;1994;1.0;0.0;19095.13775510204;5442.349693251534;97117.5;8616.374571049217;304;120;173.0;48.0;87.0;0.0;43.0;0.0;43.0;43.0;48.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;5.857000000000001;9334.2;4838.0
75;80;F;20;south Moravia;1996;1.0;0.0;2295.147967479675;2997.6958904109606;63471.3;2402.3829021873594;138;58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;36.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8285714285714287;8728.5;3845.785714285714
